;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO;center_point;envelope
20100731;15.025027624309391;67.69475138121547;98.66491712707182;27.540276243093924;22.10596685082873;34.724917127071826;4.6595580110497234;6.548342541436464;6.601602209944752;8.529889502762432;2.973756906077348;4.8702209944751385;18.17;40.33;9.87;12.14;0.98;1.18;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20110131;13.027173913043478;59.60043478260869;98.60054347826087;27.67733695652174;21.433641304347827;35.59222826086957;5.828043478260869;7.471141304347826;7.913695652173913;9.864891304347829;3.863967391304348;5.436739130434782;17.7;39.19;10.36;12.66;0.51;0.66;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20110731;15.944696132596686;78.98795580110497;98.64629834254144;25.42657458563536;21.105248618784533;30.98458563535912;4.072320441988951;6.0362983425414365;6.042486187845304;7.905469613259669;2.524530386740332;4.5161325966850825;17.19;36.58;10.24;12.88;0.08;0.17;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20120131;12.887391304347828;58.97489130434782;98.66728260869564;27.70929347826087;21.416902173913044;35.84576086956522;6.33945652173913;7.960923913043478;8.259619565217392;10.253043478260867;4.2263586956521735;5.929891304347826;17.73;38.96;10.44;13.09;1.71;2.8;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20120731;13.50423076923077;61.64252747252748;98.69637362637364;27.58516483516484;21.64494505494505;35.26362637362637;5.313406593406593;7.052857142857143;7.127692307692308;9.058351648351648;3.408076923076923;5.227912087912088;17.72;38.86;9.25;11.28;1.3;1.56;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20130131;12.11483695652174;53.2904347826087;98.6879891304348;28.58385869565217;21.86777173913044;37.18625;6.593043478260869;8.200869565217392;8.7875;11.029021739130432;4.471521739130435;5.943369565217391;18.27;40.01;11.42;14.19;2.35;2.91;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20130731;14.320220994475138;64.7378453038674;98.69591160220996;27.68613259668508;22.06243093922652;35.08718232044199;4.823977900552486;6.5617679558011055;6.73060773480663;8.590939226519337;3.0326519337016573;4.785635359116022;17.47;40.05;9.89;12.39;0.19;0.41;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20140131;12.62967391304348;56.96625;98.68440217391304;27.92690217391305;21.48592391304348;36.1128804347826;6.391467391304348;7.979619565217392;8.345434782608695;10.333695652173914;4.183858695652174;5.807119565217391;17.89;39.26;10.09;12.82;2.05;2.68;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20140731;14.356243093922652;67.86060773480663;98.73359116022098;26.66977900552486;21.1585635359116;33.79453038674033;4.590055248618785;6.436574585635359;6.508508287292817;8.368342541436464;2.924088397790056;4.698011049723757;17.86;38.54;10.55;13.03;1.06;1.38;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20150131;12.520923913043475;55.93951086956522;98.74608695652174;28.21461956521739;21.66244565217391;36.54135869565217;6.514728260869566;8.12304347826087;8.411576086956522;10.47217391304348;4.194945652173913;5.86875;17.98;39.25;10.19;12.93;1.62;2.63;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
