,center_point,envelope,Nome_Munic,geometry
473,POINT (-37.865 -6.603),"POLYGON ((-37.89 -6.628, -37.84 -6.628, -37.84 -6.577999999999999, -37.89 -6.577999999999999, -37.89 -6.628))",Lagoa,"POLYGON ((-37.89 -6.577999999999999, -37.84 -6.577999999999999, -37.84 -6.628, -37.89 -6.628, -37.89 -6.577999999999999))"
474,POINT (-37.865 -6.553),"POLYGON ((-37.89 -6.578, -37.84 -6.578, -37.84 -6.528, -37.89 -6.528, -37.89 -6.578))",Jericó,"POLYGON ((-37.89 -6.528, -37.84 -6.528, -37.84 -6.578, -37.89 -6.578, -37.89 -6.528))"
475,POINT (-37.865 -6.503),"POLYGON ((-37.89 -6.5280000000000005, -37.84 -6.5280000000000005, -37.84 -6.478, -37.89 -6.478, -37.89 -6.5280000000000005))",Bom Sucesso,"POLYGON ((-37.89 -6.478, -37.84 -6.478, -37.84 -6.5280000000000005, -37.89 -6.5280000000000005, -37.89 -6.478))"
476,POINT (-37.865 -6.453),"POLYGON ((-37.89 -6.478000000000001, -37.84 -6.478000000000001, -37.84 -6.428, -37.89 -6.428, -37.89 -6.478000000000001))",Bom Sucesso,"POLYGON ((-37.89 -6.428, -37.84 -6.428, -37.84 -6.478000000000001, -37.89 -6.478000000000001, -37.89 -6.428))"
477,POINT (-37.865 -6.403),"POLYGON ((-37.89 -6.428, -37.84 -6.428, -37.84 -6.377999999999999, -37.89 -6.377999999999999, -37.89 -6.428))",Brejo dos Santos,"POLYGON ((-37.88990999999805 -6.399739999998928, -37.8859 -6.396599999998216, -37.8839199999984 -6.391279999998005, -37.88815999999861 -6.38680999999815, -37.888051996495925 -6.377999999999999, -37.84 -6.377999999999999, -37.84 -6.428, -37.89 -6.428, -37.89 -6.399736329786075, -37.88990999999805 -6.399739999998928))"
478,POINT (-37.865 -6.353),"POLYGON ((-37.89 -6.378, -37.84 -6.378, -37.84 -6.327999999999999, -37.89 -6.327999999999999, -37.89 -6.378))",Brejo dos Santos,"MULTIPOLYGON (((-37.887879999998404 -6.363969999998517, -37.85947999999917 -6.374479999998584, -37.85389999999825 -6.365919999998368, -37.840299999998024 -6.360939999998664, -37.843769999997676 -6.353959999998551, -37.84 -6.349383235294871, -37.84 -6.378, -37.888051996495925 -6.378, -37.887879999998404 -6.363969999998517)), ((-37.84284999999909 -6.332689999999275, -37.84 -6.32928265327777, -37.84 -6.335654765098998, -37.84284999999909 -6.332689999999275)))"
479,POINT (-37.815 -7.653),"POLYGON ((-37.839999999999996 -7.678, -37.79 -7.678, -37.79 -7.627999999999999, -37.839999999999996 -7.627999999999999, -37.839999999999996 -7.678))",Tavares,"POLYGON ((-37.80761999999777 -7.643549999998868, -37.839999999999996 -7.646442036725869, -37.839999999999996 -7.627999999999999, -37.7928038978337 -7.627999999999999, -37.80761999999777 -7.643549999998868))"
480,POINT (-37.815 -7.603),"POLYGON ((-37.839999999999996 -7.628, -37.79 -7.628, -37.79 -7.577999999999999, -37.839999999999996 -7.577999999999999, -37.839999999999996 -7.628))",Juru,"POLYGON ((-37.79045999999835 -7.625539999999091, -37.7928038978337 -7.628, -37.839999999999996 -7.628, -37.839999999999996 -7.577999999999999, -37.79 -7.577999999999999, -37.79 -7.625591370557257, -37.79045999999835 -7.625539999999091))"
481,POINT (-37.815 -7.553),"POLYGON ((-37.839999999999996 -7.578, -37.79 -7.578, -37.79 -7.528, -37.839999999999996 -7.528, -37.839999999999996 -7.578))",Juru,"POLYGON ((-37.839999999999996 -7.528, -37.79 -7.528, -37.79 -7.578, -37.839999999999996 -7.578, -37.839999999999996 -7.528))"
482,POINT (-37.815 -7.503),"POLYGON ((-37.839999999999996 -7.5280000000000005, -37.79 -7.5280000000000005, -37.79 -7.478, -37.839999999999996 -7.478, -37.839999999999996 -7.5280000000000005))",Juru,"POLYGON ((-37.839999999999996 -7.478, -37.79 -7.478, -37.79 -7.5280000000000005, -37.839999999999996 -7.5280000000000005, -37.839999999999996 -7.478))"
