center_point;envelope
POINT (-37.97621831848703 -7.67573764343167);POLYGON ((-37.86498999999784 -7.661770264209671, -37.86929999999847 -7.66715, -37.88024999999834 -7.683239999998477, -37.89700999999877 -7.690419999998994, -37.90295999999944 -7.697609999999258, -37.90293999999813 -7.697639999998501, -37.90297999999893 -7.697689999999056, -37.89194999999927 -7.710529999998471, -37.89398999999867 -7.713219999997818, -37.91271999999844 -7.709059999999226, -37.91692999999941 -7.711319999998523, -37.9195699999982 -7.71274, -37.92061999999896 -7.713299999999435, -37.92289999999775 -7.715689999999086, -37.92199999999866 -7.723229999997784, -37.94274999999834 -7.740629999998418, -37.94432999999844 -7.746009999998932, -37.9471999999987 -7.755809999998746, -37.95807999999852 -7.765569999997751, -37.96444999999767 -7.772279999999228, -37.96632999999929 -7.773919999997815, -37.97097999999824 -7.777149999998073, -37.98261999999886 -7.772239999998419, -37.98991999999816 -7.778469999999288, -38.00036999999793 -7.778549999999086, -38.00509999999849 -7.777349999998478, -38.00779999999941 -7.766459999998915, -38.01210999999785 -7.765399999998408, -38.02956999999878 -7.749429999998029, -38.0392299999985 -7.747709999997824, -38.06498999999784 -7.768567846152667, -38.06498999999784 -7.602539999998774, -37.86498999999784 -7.602539999998774, -37.86498999999784 -7.661770264209671))
POINT (-37.96498999999783 -7.502539999998775);POLYGON ((-38.06498999999784 -7.602539999998774, -38.06498999999784 -7.402539999998774, -37.86498999999784 -7.402539999998774, -37.86498999999784 -7.602539999998774, -38.06498999999784 -7.602539999998774))
POINT (-37.96498999999783 -7.302539999998776);POLYGON ((-38.06498999999784 -7.402539999998774, -38.06498999999784 -7.202539999998775, -37.86498999999784 -7.202539999998775, -37.86498999999784 -7.402539999998774, -38.06498999999784 -7.402539999998774))
POINT (-37.96498999999783 -7.102539999998775);POLYGON ((-38.06498999999784 -7.202539999998775, -38.06498999999784 -7.002539999998776, -37.86498999999784 -7.002539999998776, -37.86498999999784 -7.202539999998775, -38.06498999999784 -7.202539999998775))
POINT (-37.96498999999783 -6.902539999998775);POLYGON ((-38.06498999999784 -7.002539999998776, -38.06498999999784 -6.802539999998777, -37.86498999999784 -6.802539999998777, -37.86498999999784 -7.002539999998776, -38.06498999999784 -7.002539999998776))
POINT (-37.96498999999783 -6.702539999998777);POLYGON ((-38.06498999999784 -6.802539999998777, -38.06498999999784 -6.602539999998777, -37.86498999999784 -6.602539999998777, -37.86498999999784 -6.802539999998777, -38.06498999999784 -6.802539999998777))
POINT (-37.9586704498067 -6.512709515276711);POLYGON ((-38.06498999999784 -6.459769230766904, -38.06158999999934 -6.45904999999766, -38.05888999999843 -6.452729999999065, -38.05360999999903 -6.453289999997651, -38.05109999999877 -6.442009999998845, -38.04599999999846 -6.440529999998034, -38.0430499999984 -6.442949999998746, -38.04357999999775 -6.451579999999012, -38.03590999999869 -6.45958999999857, -38.0407299999988 -6.470779999997831, -38.03381999999874 -6.475449999998091, -38.02640999999858 -6.474359999998342, -38.02146999999786 -6.468059999999241, -38.0125999999982 -6.468449999998484, -38.01961999999912 -6.445609999998851, -38.0078799999992 -6.431789999998728, -38.01404999999795 -6.429989999998725, -38.01334999999926 -6.427029999998922, -37.98866999999882 -6.428239999999278, -37.9799099999982 -6.426689999998416, -37.97873999999865 -6.426289999999426, -37.96832999999788 -6.418339999998352, -37.96767999999793 -6.404719999998633, -37.96369542691597 -6.402539999998778, -37.95495876141967 -6.402539999998778, -37.95485999999801 -6.407659999998941, -37.94508999999925 -6.422219999998561, -37.92776999999842 -6.421189999999115, -37.91909999999916 -6.41125, -37.90606774436026 -6.402539999998778, -37.86498999999784 -6.402539999998778, -37.86498999999784 -6.602539999998777, -38.06498999999784 -6.602539999998777, -38.06498999999784 -6.459769230766904))
POINT (-37.87978425228905 -6.38635952013014);MULTIPOLYGON (((-37.90606774436026 -6.402539999998778, -37.90118999999868 -6.399279999997816, -37.88990999999805 -6.399739999998928, -37.8859 -6.396599999998216, -37.8839199999984 -6.391279999998005, -37.88815999999861 -6.38680999999815, -37.8878799999984 -6.363969999998517, -37.86498999999784 -6.372440911970839, -37.86498999999784 -6.402539999998778, -37.90606774436026 -6.402539999998778)), ((-37.96369542691597 -6.402539999998778, -37.95504999999866 -6.397809999998572, -37.95495876141967 -6.402539999998778, -37.96369542691597 -6.402539999998778)))
POINT (-37.81361327058688 -7.622714377395678);POLYGON ((-37.74331814814625 -7.602539999998774, -37.74374999999782 -7.603599999998551, -37.74535999999898 -7.608919999998761, -37.7554999999993 -7.619109999997818, -37.75762999999824 -7.633709999998246, -37.76423999999861 -7.630969999998342, -37.76688999999897 -7.657069999999294, -37.76697999999851 -7.656139999999141, -37.76763999999821 -7.656189999997878, -37.76780999999937 -7.65549, -37.76704999999856 -7.655429999998887, -37.76773999999932 -7.648269999997865, -37.77156999999897 -7.647829999998066, -37.77577999999812 -7.646219999998721, -37.77600999999777 -7.634299999997893, -37.78060999999798 -7.626639999998588, -37.79045999999835 -7.625539999999091, -37.80761999999777 -7.643549999998868, -37.84355999999934 -7.646759999997812, -37.85680999999931 -7.651559999998426, -37.86498999999784 -7.661770264209671, -37.86498999999784 -7.602539999998774, -37.74331814814625 -7.602539999998774))
POINT (-37.77127068508214 -7.496186372700178);POLYGON ((-37.66498999999784 -7.526967802452449, -37.67628999999943 -7.535209999998187, -37.68179999999847 -7.547969999997804, -37.70615999999791 -7.550179999998363, -37.70973999999842 -7.559119999998074, -37.70622999999796 -7.56905999999799, -37.71065999999882 -7.573349999998754, -37.72067999999854 -7.581489999998666, -37.7283899999984 -7.579319999998916, -37.73459999999795 -7.596809999999095, -37.74110999999903 -7.59711999999854, -37.74331814814625 -7.602539999998774, -37.86498999999784 -7.602539999998774, -37.86498999999784 -7.402539999998774, -37.66498999999784 -7.402539999998774, -37.66498999999784 -7.526967802452449))
