;center_point;envelope
46;POINT (-38.61597627211998 -6.566288263778272);POLYGON ((-38.6351261111086 -6.587539999998747, -38.64249999999811 -6.580779999998413, -38.63272999999936 -6.568809999998848, -38.63227999999799 -6.562039999998888, -38.62530999999944 -6.557579999998779, -38.62624999999935 -6.552559999998266, -38.61374187713128 -6.537539999998746, -38.59998999999786 -6.537539999998746, -38.59998999999786 -6.587539999998747, -38.6351261111086 -6.587539999998747))
47;POINT (-38.60628008409308 -6.522806893670724);POLYGON ((-38.61374187713128 -6.537539999998746, -38.6067299999977 -6.529119999999239, -38.61016999999811 -6.531889999998384, -38.61575999999877 -6.527749999999287, -38.61193999999887 -6.512789999998859, -38.59998999999786 -6.503993088913182, -38.59998999999786 -6.537539999998746, -38.61374187713128 -6.537539999998746))
48;POINT (-38.60055666666447 -6.389495241121234);POLYGON ((-38.59998999999786 -6.390776005055938, -38.60168999999769 -6.389219999999113, -38.59998999999786 -6.388489718308652, -38.59998999999786 -6.390776005055938))
49;POINT (-38.57278467990223 -7.74512966752957);POLYGON ((-38.54998999999786 -7.751314461978273, -38.55977999999777 -7.756679999998596, -38.57174999999916 -7.751069999998435, -38.57446999999775 -7.753929999998945, -38.57867999999871 -7.746189999998023, -38.58959999999934 -7.755269999997836, -38.59326999999939 -7.753939999998693, -38.59737999999925 -7.741629999998622, -38.59998999999786 -7.740950975608442, -38.59998999999786 -7.737539999998763, -38.54998999999786 -7.737539999998763, -38.54998999999786 -7.751314461978273))
50;POINT (-38.57498999999785 -7.712539999998763);POLYGON ((-38.59998999999786 -7.737539999998763, -38.59998999999786 -7.687539999998762, -38.54998999999786 -7.687539999998762, -38.54998999999786 -7.737539999998763, -38.59998999999786 -7.737539999998763))
51;POINT (-38.57498999999785 -7.662539999998763);POLYGON ((-38.59998999999786 -7.687539999998762, -38.59998999999786 -7.637539999998761, -38.54998999999786 -7.637539999998761, -38.54998999999786 -7.687539999998762, -38.59998999999786 -7.687539999998762))
52;POINT (-38.57498999999785 -7.612539999998762);POLYGON ((-38.59998999999786 -7.637539999998761, -38.59998999999786 -7.587539999998761, -38.54998999999786 -7.587539999998761, -38.54998999999786 -7.637539999998761, -38.59998999999786 -7.637539999998761))
53;POINT (-38.57498999999785 -7.562539999998759);POLYGON ((-38.59998999999786 -7.587539999998761, -38.59998999999786 -7.53753999999876, -38.54998999999786 -7.53753999999876, -38.54998999999786 -7.587539999998761, -38.59998999999786 -7.587539999998761))
54;POINT (-38.57498999999785 -7.51253999999876);POLYGON ((-38.59998999999786 -7.53753999999876, -38.59998999999786 -7.487539999998759, -38.54998999999786 -7.487539999998759, -38.54998999999786 -7.53753999999876, -38.59998999999786 -7.53753999999876))
55;POINT (-38.5749101648813 -7.462621728631943);POLYGON ((-38.59998999999786 -7.440831151076766, -38.59571999999935 -7.438219999998182, -38.59556631130003 -7.437539999998759, -38.54998999999786 -7.437539999998759, -38.54998999999786 -7.487539999998759, -38.59998999999786 -7.487539999998759, -38.59998999999786 -7.440831151076766))
56;POINT (-38.56896140361266 -7.413101172377661);POLYGON ((-38.59556631130003 -7.437539999998759, -38.59465999999884 -7.433529999998427, -38.58389999999781 -7.432769999999437, -38.58413999999902 -7.415949999998702, -38.59576999999808 -7.414349999999104, -38.59002999999939 -7.400779999998122, -38.58324999999786 -7.397799999998824, -38.57986799999775 -7.387539999998758, -38.54998999999786 -7.387539999998758, -38.54998999999786 -7.437539999998759, -38.59556631130003 -7.437539999998759))
57;POINT (-38.56059236649347 -7.371312078018176);POLYGON ((-38.57986799999775 -7.387539999998758, -38.57612999999765 -7.376199999998789, -38.56082999999853 -7.357859999998254, -38.55185999999776 -7.340199999998731, -38.55051814616563 -7.337539999998757, -38.54998999999786 -7.337539999998757, -38.54998999999786 -7.387539999998758, -38.57986799999775 -7.387539999998758))
58;POINT (-38.55016576616611 -7.337154847206548);MULTIPOLYGON (((-38.55051814616563 -7.337539999998757, -38.54998999999786 -7.336493038867364, -38.54998999999786 -7.337539999998757, -38.55051814616563 -7.337539999998757)), ((-38.54998999999786 -7.315141574813605, -38.54999999999927 -7.315059999998994, -38.54998999999786 -7.315050966794595, -38.54998999999786 -7.315141574813605)))
59;POINT (-38.57388649562487 -7.243199245388353);POLYGON ((-38.54998999999786 -7.263573493974605, -38.55174999999872 -7.263159999998607, -38.55408999999781 -7.251449999997931, -38.55160999999862 -7.243069999998625, -38.55657999999858 -7.239279999997962, -38.58272999999826 -7.247979999998279, -38.59475999999813 -7.246119999997973, -38.59879464285537 -7.237539999998756, -38.54998999999786 -7.237539999998756, -38.54998999999786 -7.263573493974605))
60;POINT (-38.57497503991537 -7.212525312883741);POLYGON ((-38.59879464285537 -7.237539999998756, -38.59998999999786 -7.234997974683381, -38.59998999999786 -7.187539999998755, -38.54998999999786 -7.187539999998755, -38.54998999999786 -7.237539999998756, -38.59879464285537 -7.237539999998756))
61;POINT (-38.57498999999785 -7.162539999998755);POLYGON ((-38.59998999999786 -7.187539999998755, -38.59998999999786 -7.137539999998754, -38.54998999999786 -7.137539999998754, -38.54998999999786 -7.187539999998755, -38.59998999999786 -7.187539999998755))
